,antecedents,consequents,confidence
0,"frozenset({'bottled beer', 'hamburger meat'})",frozenset({'whole milk'}),0.8095238095238095
1,"frozenset({'red/blush wine', 'liquor'})",frozenset({'bottled beer'}),0.9047619047619048
2,"frozenset({'bottled beer', 'soups'})",frozenset({'whole milk'}),0.9166666666666665
3,"frozenset({'rice', 'bottled water'})",frozenset({'whole milk'}),0.9230769230769231
4,"frozenset({'jam', 'butter'})",frozenset({'whole milk'}),0.8333333333333333
5,"frozenset({'rice', 'butter'})",frozenset({'whole milk'}),0.8333333333333334
6,"frozenset({'onions', 'butter milk'})",frozenset({'other vegetables'}),0.8125
7,"frozenset({'pork', 'butter milk'})",frozenset({'other vegetables'}),0.8571428571428571
8,"frozenset({'canned fish', 'hygiene articles'})",frozenset({'whole milk'}),1.0
9,"frozenset({'cereals', 'curd'})",frozenset({'whole milk'}),0.9090909090909092
10,"frozenset({'cereals', 'yogurt'})",frozenset({'whole milk'}),0.8095238095238095
11,"frozenset({'pickled vegetables', 'chocolate'})",frozenset({'whole milk'}),0.8571428571428571
12,"frozenset({'curd', 'hamburger meat'})",frozenset({'whole milk'}),0.8064516129032258
13,"frozenset({'turkey', 'curd'})",frozenset({'other vegetables'}),0.8
14,"frozenset({'rice', 'domestic eggs'})",frozenset({'whole milk'}),0.8461538461538461
15,"frozenset({'herbs', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.8
16,"frozenset({'onions', 'grapes'})",frozenset({'other vegetables'}),0.9166666666666665
17,"frozenset({'hard cheese', 'oil'})",frozenset({'other vegetables'}),0.9166666666666665
18,"frozenset({'shopping bags', 'herbs'})",frozenset({'other vegetables'}),0.8260869565217391
19,"frozenset({'herbs', 'rolls/buns'})",frozenset({'whole milk'}),0.8
20,"frozenset({'tropical fruit', 'herbs'})",frozenset({'whole milk'}),0.8214285714285714
21,"frozenset({'napkins', 'house keeping products'})",frozenset({'whole milk'}),0.8125
22,"frozenset({'whipped/sour cream', 'house keeping products'})",frozenset({'whole milk'}),0.9230769230769231
23,"frozenset({'meat', 'margarine'})",frozenset({'other vegetables'}),0.85
24,"frozenset({'oil', 'mustard'})",frozenset({'whole milk'}),0.8571428571428571
25,"frozenset({'onions', 'waffles'})",frozenset({'other vegetables'}),0.8
